giver_orig,giver,giver_wiki,giver_name,WikidataID
"Their Majesties King Abdullah II, and Queen Rania al Abdullah","Their Majesties King Abdullah II, and Queen Rania al Abdullah",,Their Majesties King Abdullah II,
"His Excellency Gerhard Schroeder, Chancellor of the Federal Republic of Germany","Gerhard Schroeder, Chancellor of the Federal Republic of Germany",,Gerhard Schroeder,
"The Honorable Marc Lefevre, General Counsellor and Mayor of Sainte Mere Eglise","Marc Lefevre, General Counsellor and Mayor of Sainte Mere Eglise",,Marc Lefevre,Q63764602
"His Holiness, John Paul II",John Paul II,,John Paul II,Q989
"Lieutenant General Shaykh Mohammad bin Zayid al-Nuhayyan, Chief of Staff of the Armed Forces of the United Arab Emirates","Lieutenant General Shaykh Mohammad bin Zayid al-Nuhayyan, Chief of Staff of the Armed Forces of the United Arab Emirates",,Shaykh Mohammad bin Zayid al-Nuhayyan,
"The Honorable Max Avenel, Mayor of Agon-Countainville","Max Avenel, Mayor of Agon-Countainville",,Max Avenel,
"Student Delegation, L'Ecole Speciale Militaire de Saint-Cyr","Student Delegation, L'Ecole Speciale Militaire de Saint-Cyr",,Student Delegation,
"His Royal Highness Prince Bandar bin Sultan, Ambassador of Saudi Arabia","Prince Bandar bin Sultan, Ambassador of Saudi Arabia",,Prince Bandar bin Sultan,Q556137
"His Excellency Hugo Guiliani Cury, Ambassador of the Dominican Republic","Hugo Guiliani Cury, Ambassador of the Dominican Republic",,Hugo Guiliani Cury,
His Excellency The President of the Russian Federation and Mrs. Putina,The President of the Russian Federation and Putina,,of the Russian Federation and Putina,
"The Honorable Leonel Cota Montano, Governor of Baja California Sur","Leonel Cota Montano, Governor of Baja California Sur",,Leonel Cota Montano,Q2207912
His Excellency The Prime Minister of the Republic of Hungary and Mrs. Medgyessy,The Prime Minister of the Republic of Hungary and Medgyessy,,The Prime Minister of the Republic of Hungary and Medgyessy,
His Excellency The Prime Minister of the Czech Republic and Mrs. Spidlova,The Prime Minister of the Czech Republic and Spidlova,,The Prime Minister of the Czech Republic and Spidlova,
"His Excellency Daniel T. Arap Moi, President of the Republic of Kenya","Daniel T. Arap Moi, President of the Republic of Kenya",,Daniel T. Arap Moi,
His Excellency The Prime Minister of the Republic of Turkey and Mrs. Ecevit,The Prime Minister of the Republic of Turkey and Ecevit,,The Prime Minister of the Republic of Turkey and Ecevit,
"Mrs. Jewel H. Howard-Taylor, The First Lady of the Republic of Liberia","Jewel H. Howard-Taylor, The of the Republic of Liberia",,Jewel H. Howard-Taylor,
"Dr. Arzu Deuba, Prime Minister's Residence","Arzu Deuba, Prime Minister's Residence",,Arzu Deuba,
His Excellency The President of the Republic of Hungary and Mrs. Madl,The President of the Republic of Hungary and Madl,,of the Republic of Hungary and Madl,
"His Excellency Viktor Orban, Prime Minister of the Republic of Hungary","Viktor Orban, Prime Minister of the Republic of Hungary",,Viktor Orban,
"His Excellency Abel Pacheco de la Espriella, President of the Republic of Costa Rica","Abel Pacheco de la Espriella, President of the Republic of Costa Rica",,Abel Pacheco de la Espriella,
"Dr. Zimat Karzai, Office of the President of the Afghan Transitional administration","Zimat Karzai, Office of the President of the Afghan Transitional administration",,Zimat Karzai,
Mrs. Jolanta Kwasniewska,Jolanta Kwasniewska,,Jolanta Kwasniewska,Q55756
His Excellency The President of the Czech Republic and Mrs. Havlova,The President of the Czech Republic and Havlova,,of the Czech Republic and Havlova,
"Police Colonel Hkam Awng, Joint Secretary of the Central Committee for Drug Abuse Control, Ministry of Home Affairs of the Union of Burma","Police Colonel Hkam Awng, Joint Secretary of the Central Committee for Drug Abuse Control, Ministry of Home Affairs of the Union of Burma",,Hkam Awng,
"His Excellency Phanthong Phommahaxay, Ambassador of the Lao People's Democratic Republic","Phanthong Phommahaxay, Ambassador of the Lao People's Democratic Republic",,Phanthong Phommahaxay,
"His Highness Sheikh Sulman bin Hamad bin Isa Al-Khalifa, Crown Prince of the State of Bahrain and Head of the Bahrain Defense Force","Sheikh Sulman bin Hamad bin Isa Al-Khalifa, Crown Prince of the State of Bahrain and Head of the Bahrain Defense Force",,Sheikh Sulman bin Hamad bin Isa Al-Khalifa,
"His Excellency, Ali Abduallah Saleh, President of the Republic of Yemen","Ali Abduallah Saleh, President of the Republic of Yemen",,Ali Abduallah Saleh,
"His Excellency Ivica Racan, Prime Minister of the Republic of Croatia","Ivica Racan, Prime Minister of the Republic of Croatia",,Ivica Racan,
"His Excellency Mr. Yonus Qanooni, Minister of Interior of the Interim Administration of Afghanistan","Yonus Qanooni, Minister of Interior of the Interim Administration of Afghanistan",,Yonus Qanooni,
"His Excellency Mohamed Hussein Tantaway, Minister of Defense and Military Production of the Arab Republic of Egypt","Mohamed Hussein Tantaway, Minister of Defense and Military Production of the Arab Republic of Egypt",,Mohamed Hussein Tantaway,
"His Highness, Sheikh Salman Bin Hamad Al-Khalifa, Crown Prince and Commander in Chief of the Bahrain Defence Force","Sheikh Salman Bin Hamad Al-Khalifa, Crown Prince and Commander in Chief of the Bahrain Defence Force",,Sheikh Salman Bin Hamad Al-Khalifa,
"His Excellency. Jose Eduardo dos Santos, President of the Republic of Angola","His Excellency. Jose Eduardo dos Santos, President of the Republic of Angola",,His Excellency. Jose Eduardo dos Santos,
"Mr. Philip Reed, Director, Cabinet War Rooms Museum, London","Philip Reed, Director, Cabinet War Rooms Museum, London",,Philip Reed,
"His Majesty, Sheikh Hamad bin Essa Al Khalifa, King of the Kingdom of Bahrain","Sheikh Hamad bin Essa Al Khalifa, King of the Kingdom of Bahrain",,Sheikh Hamad bin Essa Al Khalifa,
"His Highness, Shaykh Zayid bin Sultan Al Nahayyan, President of the United Arab Emirates","Shaykh Zayid bin Sultan Al Nahayyan, President of the United Arab Emirates",,Shaykh Zayid bin Sultan Al Nahayyan,
"His Majesty, Fahd Bin Abd Al-Aziz Al Saud, Custodian of the Two Holy Mosques, King of Kingdom of Saudi Arabia","Fahd Bin Abd Al-Aziz Al Saud, Custodian of the Two Holy Mosques, King of Kingdom of Saudi Arabia",,Fahd Bin Abd Al-Aziz Al Saud,
"His Highness, Hamad Bin Khalifa Al-Thani, Amir of the State of Qatar","Hamad Bin Khalifa Al-Thani, Amir of the State of Qatar",,Hamad Bin Khalifa Al-Thani,
"His Highness Shaykh Saad al-Abdullah Al-Salim Al Sabah, Crown Prince and Prime Minister of the State of Kuwait","Shaykh Saad al-Abdullah Al-Salim Al Sabah, Crown Prince and Prime Minister of the State of Kuwait",,Shaykh Saad al-Abdullah Al-Salim Al Sabah,
"General Huseyin Kivrikoglu, Commander of the Turkish Armed Forces","General Huseyin Kivrikoglu, Commander of the Turkish Armed Forces",,Huseyin Kivrikoglu,
"His Royal Highness, Prince Bandar Bin Sultan Bin Abdulaziz, and Her Royal Highness, Princess Haifa Al Faisal, Embassy of Saudi Arabia","Prince Bandar Bin Sultan Bin Abdulaziz, and Her Royal Highness, Princess Haifa Al Faisal, Embassy of Saudi Arabia",,Prince Bandar Bin Sultan Bin Abdulaziz,
"His Excellency, Shaykh Khalifa Bin Salman Al Khalifa, Prime Minister of the Kingdom of Bahrain","Shaykh Khalifa Bin Salman Al Khalifa, Prime Minister of the Kingdom of Bahrain",,Shaykh Khalifa Bin Salman Al Khalifa,
"His Majesty, Mohammad VI, King of Morocco","Mohammad VI, King of Morocco",,Mohammad VI,
"His Royal Highness. Abdallah Bin Abd Al-Aziz, Al Saud, Crown Prince, First Deputy Prime Minister, and Commander of the National Guard of Saudi Arabia","His Royal Highness. Abdallah Bin Abd Al-Aziz, Al Saud, Crown Prince, First Deputy Prime Minister, and Commander of the National Guard of Saudi Arabia",,His Royal Highness. Abdallah Bin Abd Al-Aziz,
"His Excellency, Askar Akaev, President of the Kyrgyz Republic","Askar Akaev, President of the Kyrgyz Republic",,Askar Akaev,
"His Excellency, Gonzalo Sanchez De Lozada, President of the Republic of Bolivia","Gonzalo Sanchez De Lozada, President of the Republic of Bolivia",,Gonzalo Sanchez De Lozada,
"His Excellency, Salem Abdullah Al-Jaber Al-Sabah and Mrs. Rima R. Al-Sabah, Embassy of Kuwait","Salem Abdullah Al-Jaber Al-Sabah and Rima R. Al-Sabah, Embassy of Kuwait",,Salem Abdullah Al-Jaber Al-Sabah and Rima R. Al-Sabah,
"His Royal Highness, Abdallah Bin Abd Al-Aziz, Al Saud, Crown Prince, First Deputy Prime Minister and Commander of the National Guard of Saudi Arabia","Abdallah Bin Abd Al-Aziz, Al Saud, Crown Prince, First Deputy Prime Minister and Commander of the National Guard of Saudi Arabia",,Abdallah Bin Abd Al-Aziz,
"High Highness, Hamad Bin Khalifa Al-Thani, Amir of the State of Qatar","High Highness, Hamad Bin Khalifa Al-Thani, Amir of the State of Qatar",,High Highness,
His Excellency Aleksander Kwasniewski President of the Republic of Poland,Aleksander Kwasniewski President of the Republic of Poland,,of the Republic of Poland,
"His Excellency Salem Abdullah Al-Jaber Al-Sabah & Mrs. Rima R. Al-Sabah, Embassy of Kuwait","Salem Abdullah Al-Jaber Al-Sabah & Rima R. Al-Sabah, Embassy of Kuwait",,Salem Abdullah Al-Jaber Al-Sabah & Rima R. Al-Sabah,
"Prince Bandar Bin Sultan, Embassy of Saudi Arabia","Prince Bandar Bin Sultan, Embassy of Saudi Arabia",,Prince Bandar Bin Sultan,
"Do Van Tai, Chairman of the Foreign Committee of the National Assembly of Vietnam","Do Van Tai, Chairman of the Foreign Committee of the National Assembly of Vietnam",,Do Van Tai,
President Islam A. Karimov of Uzbekistan,President Islam A. Karimov of Uzbekistan,,Islam A. Karimov of Uzbekistan,
"Jean Claude Juncher, Prime Minister of Luxembourg","Jean Claude Juncher, Prime Minister of Luxembourg",,Jean Claude Juncher,
President Islam Karimov of Uzbekistan,President Islam Karimov of Uzbekistan,,Islam Karimov of Uzbekistan,
Amir of Qatar Hamad Bin Khalifa Al-Thani,Amir of Qatar Hamad Bin Khalifa Al-Thani,,Amir of Qatar Hamad Bin Khalifa Al-Thani,
Chairman Karzai of Afghanstan,Chairman Karzai of Afghanstan,,Chairman Karzai of Afghanstan,
"Bader Omar Al-Dafa, Ambassador of Qatar","Bader Omar Al-Dafa, Ambassador of Qatar",,Bader Omar Al-Dafa,
President Bouteflika of Algeria,President Bouteflika of Algeria,,Bouteflika of Algeria,
Prime Minister of Ecevet of Turkey,Prime Minister of Ecevet of Turkey,,Prime Minister of Ecevet of Turkey,
"President of Algeria, H.E. Abdelaziz Bouteflika","President of Algeria, Abdelaziz Bouteflika",,of Algeria,
President of Azerbaijan Heyder Aliyev,President of Azerbaijan Heyder Aliyev,,of Azerbaijan Heyder Aliyev,
Kurdish Regional Government,Kurdish Regional Government,,Kurdish Regional Government,
The Atlantic Council,The Atlantic Council,,The Atlantic Council,
Chinese Association of Industry and Commerce,Chinese Association of Industry and Commerce,,Chinese Association of Industry and Commerce,
"Centre National d'Etordes Spatiales (CNES), Government of France","Centre National d'Etordes Spatiales (CNES), Government of France",,Centre National d'Etordes Spatiales (CNES),
"Hamid Karzi, President, Government of Afghanistan","Hamid Karzi, President, Government of Afghanistan",,Hamid Karzi,
"His Highness Sheikh Hamad Bin Khalifa A-Thani, The Emir of the State of Qatar","Sheikh Hamad Bin Khalifa A-Thani, The Emir of the State of Qatar",,Sheikh Hamad Bin Khalifa A-Thani,
"Governments of Beijing, Wuxi, and Shanghai, Peoples' Republic of China","Governments of Beijing, Wuxi, and Shanghai, Peoples' Republic of China",,Governments of Beijing,
"H.E. Jorge Castaneda, Secretary of Foreign Relations of Mexico","Jorge Castaneda, Secretary of Foreign Relations of Mexico",,Jorge Castaneda,
"H.E. Hubert A. Ingraham, Prime Minister of the Commonwealth of the Bahamas","Hubert A. Ingraham, Prime Minister of the Commonwealth of the Bahamas",,Hubert A. Ingraham,
"H.E. Maria Soledad Alvear Valenquela, Minister of Foreign Relations of the Republic of Chile","Maria Soledad Alvear Valenquela, Minister of Foreign Relations of the Republic of Chile",,Maria Soledad Alvear Valenquela,
"H.M. Mohammed Vi, King of Morocco","Mohammed Vi, King of Morocco",,Mohammed Vi,
"H.E. Milo Djukanovic, President of the Republic of Montenegro","Milo Djukanovic, President of the Republic of Montenegro",,Milo Djukanovic,
"His All Holiness Bartholomew, Archbishop of Constantinople, New Rome and Ecumenical Patriarch","Bartholomew, Archbishop of Constantinople, New Rome and Ecumenical Patriarch",,Bartholomew,
"His All Holiness Bartholomew Archbishop of Constantinople, New Rome and Ecumenical Patriarch","Bartholomew Archbishop of Constantinople, New Rome and Ecumenical Patriarch",,Bartholomew Archbishop of Constantinople,
"T.H. William Graham, Minister of Foreign Affairs of Canada","William Graham, Minister of Foreign Affairs of Canada",,William Graham,
"H.E. Hamid Karazi, Chairman of the Afghanistan Interim Authority","Hamid Karazi, Chairman of the Afghanistan Interim Authority",,Hamid Karazi,
"Her Majesty Raja Isteri Pengiram Anak Hajah Saleha, First Wife of the Sultan of Brunei","Raja Isteri Pengiram Anak Hajah Saleha, First Wife of the Sultan of Brunei",,Raja Isteri Pengiram Anak Hajah Saleha,
"H.R.H. Penigiran Isteri Hajah Mariam, Second Wife of the Sultan of Brunei","Penigiran Isteri Hajah Mariam, Second Wife of the Sultan of Brunei",,Penigiran Isteri Hajah Mariam,
Family in Bosnia,Family in Bosnia,,Family in Bosnia,
"Ms. Luisa Periaza, Costa Rica","Luisa Periaza, Costa Rica",,Luisa Periaza,
"Ms. Maria Teresa Lagunes, Mexico","Maria Teresa Lagunes, Mexico",,Maria Teresa Lagunes,
Governor of Miyazaki Suketaka Matsukata,Governor of Miyazaki Suketaka Matsukata,,Governor of Miyazaki Suketaka Matsukata,
"M. Badinter, France","M. Badinter, France",,M. Badinter,
"Mr. Tony Winata, Indonesia","Tony Winata, Indonesia",,Tony Winata,
"H.R.H. Abdallah bin Abd al-Aziz Al Saud Crown Prince, First Deputy Prime Minister and Commander of the National Guard of Saudi Arabia","Abdallah bin Abd al-Aziz Al Saud Crown Prince, First Deputy Prime Minister and Commander of the National Guard of Saudi Arabia",,Abdallah bin Abd al-Aziz Al Saud Crown Prince,
"Abdul Rahman Alokazay, Managing Director of Al-Wali Trading","Abdul Rahman Alokazay, Managing Director of Al-Wali Trading",,Abdul Rahman Alokazay,
"H.E. Sheikh Hamad bin Khalifa Al Thani, Amir of the State of Qatar","Sheikh Hamad bin Khalifa Al Thani, Amir of the State of Qatar",,Sheikh Hamad bin Khalifa Al Thani,
"Major Mohammed Al-Junaibi, United Arab Emirates","Major Mohammed Al-Junaibi, United Arab Emirates",,Mohammed Al-Junaibi,
"H.E. Abd al-Aziz Al Saud, Crown Prince of Saudi Arabia","Abd al-Aziz Al Saud, Crown Prince of Saudi Arabia",,Abd al-Aziz Al Saud,
Woodrow Wilson House,Woodrow Wilson House,,Woodrow Wilson House,
"H.E. Silvion Berlusconi, President of the Council of Ministers of the Italian Republic","Silvion Berlusconi, President of the Council of Ministers of the Italian Republic",,Silvion Berlusconi,
"Tsuyoshi Yamaguchi, Diet Member, Tokyo, Japan","Tsuyoshi Yamaguchi, Diet Member, Tokyo, Japan",,Tsuyoshi Yamaguchi,
"H.E. Mohamed bin Khalifa Al-Khalifa, Minister of the Interior, Kingdom of Bahrain","Mohamed bin Khalifa Al-Khalifa, Minister of the Interior, Kingdom of Bahrain",,Mohamed bin Khalifa Al-Khalifa,
"Sheikha Fatimah, First Lady of the United Arab Emirates","Sheikha Fatimah, of the United Arab Emirates",,Sheikha Fatimah,
"H.E. Abdullah M. Al Uthman, Qatari Ambassador to the United Arab Emirates","Abdullah M. Al Uthman, Qatari Ambassador to the United Arab Emirates",,Abdullah M. Al Uthman,
"H.R.H. Abdulah bin Abdulaziz, Crown Prince of Saudi Arabia","Abdulah bin Abdulaziz, Crown Prince of Saudi Arabia",,Abdulah bin Abdulaziz,
"Salem Abdulaziz Al-Sabab, Governor, Central Bank of Kuwait, Government of Kuwait","Salem Abdulaziz Al-Sabab, Governor, Central Bank of Kuwait, Government of Kuwait",,Salem Abdulaziz Al-Sabab,
"Abdulla H. Saif, Finance Minister, Government of Bahrain","Abdulla H. Saif, Finance Minister, Government of Bahrain",,Abdulla H. Saif,
"Minister of Defense and Military Production, Field Marshal Tantawy, Egypt","Minister of Defense and Military Production, Field Marshal Tantawy, Egypt",,Minister of Defense and Military Production,
"President Islam A. Karmiv, Uzbekistan","President Islam A. Karmiv, Uzbekistan",,Islam A. Karmiv,
"Defense Minister Fahim Khan, Afghanistan","Defense Minister Fahim Khan, Afghanistan",,Defense Minister Fahim Khan,
"Minister of Defense, General-Colonel Mukhtar Altynbaev, Kazakstan","Minister of Defense, General-Colonel Mukhtar Altynbaev, Kazakstan",,Minister of Defense,
"President of Kryugyzstan, Askar Akayev, Krygzstan","President of Kryugyzstan, Askar Akayev, Krygzstan",,of Kryugyzstan,
"Governor of Herot, Ismail Khan, Kazakstan","Governor of Herot, Ismail Khan, Kazakstan",,Governor of Herot,
"Field Marshall Hussein, Tantawy, MOD","Field Marshall Hussein, Tantawy, MOD",,Hussein,
"S. Sargsyan, Minister of Defense, Armenia","S. Sargsyan, Minister of Defense, Armenia",,S. Sargsyan,
"Lt. Gen. Hamdy Weheba, Chief of Staff of the Egyptian Armed Forces","Lt. Gen. Hamdy Weheba, Chief of Staff of the Egyptian Armed Forces",,Lt. Gen. Hamdy Weheba,
"Deputy Minister of Defense, Special Rep to the North, Northern Province, Abdul Rashid Dostum","Deputy Minister of Defense, Special Rep to the North, Northern Province, Abdul Rashid Dostum",,Deputy Minister of Defense,
"Crown Prince Abdullah, Saudi Arabia","Crown Prince Abdullah, Saudi Arabia",,Crown Prince Abdullah,
"Field Marshall Tantawy, Minister of Defense, Egypt","Field Marshall Tantawy, Minister of Defense, Egypt",,Tantawy,
"Mr. Malkawi, Minister of Defense, Jordan","Malkawi, Minister of Defense, Jordan",,Malkawi,
"Lt. Gen. Hamdy Veheba, COS, Egyptian Armed Forces","Lt. Gen. Hamdy Veheba, COS, Egyptian Armed Forces",,Lt. Gen. Hamdy Veheba,
The Amir of Bahrain,The Amir of Bahrain,,The Amir of Bahrain,
The Gov't. of Yemen,The Gov't. of Yemen,,The Gov't. of Yemen,
"Chief of Staff, Kuwaiti Armed Forces","Chief of Staff, Kuwaiti Armed Forces",,Chief of Staff,
Dubai Ports Authority,Dubai Ports Authority,,Dubai Ports Authority,
"Command and Staff College, Sultan Armed Forces","Command and Staff College, Sultan Armed Forces",,Command and Staff College,
"Minister of Foreign Affairs, UAE","Minister of Foreign Affairs, UAE",,Minister of Foreign Affairs,
"Commander, UAE Navy","Commander, UAE Navy",,,
"Prime Minister, State of Bahrain","Prime Minister, State of Bahrain",,Prime Minister,
"Commander-in-Chief, Bahrain Defense Force","Commander-in-Chief, Bahrain Defense Force",,#NAME?,
"Coast Guard General Deputy, Ministry of Interior, Kuwait","Coast Guard General Deputy, Ministry of Interior, Kuwait",,Deputy,
"His Excellence Mohammed Al'Kalifa, Director of the Ministry of Housing and Environment, Bahrain","Mohammed Al'Kalifa, Director of the Ministry of Housing and Environment, Bahrain",,Mohammed Al'Kalifa,
"King Abdul Aziz, Saudi Arabia","King Abdul Aziz, Saudi Arabia",,King Abdul Aziz,
"Sheik Ahmed bid Mohammed, Governor of The Bahrain Monetary Agency.","Sheik Ahmed bid Mohammed, Governor of The Bahrain Monetary Agency.",,Sheik Ahmed bid Mohammed,
President Bouteflika of Algeria.,President Bouteflika of Algeria.,,Bouteflika of Algeria.,
Konstantin Alekseyevich Titov.,Konstantin Alekseyevich Titov.,,Konstantin Alekseyevich Titov.,
"German Gref, Minister of Economic Development Trade of Russia.","German Gref, Minister of Economic Development Trade of Russia.",,German Gref,
"Wang Zhan, WTO Affairs Consultation.","Wang Zhan, WTO Affairs Consultation.",,Wang Zhan,
"Hu Jinato, Vice President of China.","Hu Jinato, Vice President of China.",,Hu Jinato,
"German Gref Minister, Economic Development and Trade, Russia.","German Gref Minister, Economic Development and Trade, Russia.",,German Gref Minister,
"Jorge Batlle, President of Uruguay.","Jorge Batlle, President of Uruguay.",,Jorge Batlle,
"Aleksander Kwansiewski, President of Poland.","Aleksander Kwansiewski, President of Poland.",,Aleksander Kwansiewski,
"Abdullah Bin Hamad Al-Attiyah, Minister of Energy, Qatar","Abdullah Bin Hamad Al-Attiyah, Minister of Energy, Qatar",,Abdullah Bin Hamad Al-Attiyah,
Government of Nigeria,Government of Nigeria,,Government of Nigeria,
"Sayed Hussan Anwari, Min. of Agric","Sayed Hussan Anwari, Min. of Agric",,Sayed Hussan Anwari,
Their Majesties King Abdullah II bin Al Hussein and Queen Rania Al Abdullah of Jordan,Their Majesties King Abdullah II bin Al Hussein and Queen Rania Al Abdullah of Jordan,,Their Majesties King Abdullah II bin Al Hussein and Queen Rania Al Abdullah of Jordan,
"His Excellency Sheikh Hamad bin Jassim bin Jabir Al Thani, Prime Minister of the State of Qatar","Sheikh Hamad bin Jassim bin Jabir Al Thani, Prime Minister of the State of Qatar",,Sheikh Hamad bin Jassim bin Jabir Al Thani,
"His Excellency Saqr Ghobash Saeed Ghobash and Mrs. Fatima Salem, Ambassador Extraordinary and Plenipotentiary, United Arab Emirates","Saqr Ghobash Saeed Ghobash and Fatima Salem, Ambassador Extraordinary and Plenipotentiary, United Arab Emirates",,Saqr Ghobash Saeed Ghobash and Fatima Salem,
"His Excellency Ombeni Y. Sefue, Ambassador Extraordinary and Plenipotentiary, United Republic of Tanzania","Ombeni Y. Sefue, Ambassador Extraordinary and Plenipotentiary, United Republic of Tanzania",,Ombeni Y. Sefue,
"His Excellency Amadou Toumani Touré, President of the Republic of Mali","Amadou Toumani Touré, President of the Republic of Mali",,Amadou Toumani Touré,
"The Right Honorable Owen S. Arthur, M.P., Prime Minister and Minister of Finance, Barbados","Owen S. Arthur, M.P., Prime Minister and Minister of Finance, Barbados",,Owen S. Arthur,
"The Honorable Ismet Mavriqi, Mayor of Fushe-Kruje, Albania","Ismet Mavriqi, Mayor of Fushe-Kruje, Albania",,Ismet Mavriqi,
"Her Majesty Queen Elizabeth II and His Royal Highness The Prince Phillip, Duke of Edinburgh, London, United Kingdom","Queen Elizabeth II and The Prince Phillip, Duke of Edinburgh, London, United Kingdom",,Queen Elizabeth II and The Prince Phillip,
"His Excellency Dr. Tabaré Vazquez, President of the Oriental Republic of Uruguay","Tabaré Vazquez, President of the Oriental Republic of Uruguay",,Tabaré Vazquez,
"His Excellency Marouf Bakhet, Prime Minister of the Hashemite Kingdom of Jordan","Marouf Bakhet, Prime Minister of the Hashemite Kingdom of Jordan",,Marouf Bakhet,
"The Honorable Arturo Sarukan, Ambassador of Mexico to the United States","Arturo Sarukan, Ambassador of Mexico to the United States",,Arturo Sarukan,
"Ms. Mirela Moisiu, Daughter of the President of the Republic of Albania","Mirela Moisiu, Daughter of the President of the Republic of Albania",,Mirela Moisiu,
"Her Excellency Nouriya Al-Sabih, Minister of Education and Higher Education, Kuwait","Nouriya Al-Sabih, Minister of Education and Higher Education, Kuwait",,Nouriya Al-Sabih,
His Holiness The Dalai Lama,The Dalai Lama,,The Dalai Lama,
"Mrs. Toure Lobbo Traore, Spouse of the President of the Republic of Mali","Toure Lobbo Traore, Spouse of the President of the Republic of Mali",,Toure Lobbo Traore,
"Lady Catherine Meyer, Spouse of the British Ambassador to the United States","Lady Catherine Meyer, Spouse of the British Ambassador to the United States",,Lady Catherine Meyer,
"His Majesty Mohammed, King of Morocco","Mohammed, King of Morocco",,Mohammed,
"His Highness Sheikh Nawaf Al-Ahmed Al-Jaber Al Sabah, Crown Prince of the State of Kuwait","Sheikh Nawaf Al-Ahmed Al-Jaber Al Sabah, Crown Prince of the State of Kuwait",,Sheikh Nawaf Al-Ahmed Al-Jaber Al Sabah,
"Her Highness Sheikha Fatima Bint Mubarak, Chair, United Arab Emirates' Womens Association, Embassy of the United Arab Emirates","Sheikha Fatima Bint Mubarak, Chair, United Arab Emirates' Womens Association, Embassy of the United Arab Emirates",,Sheikha Fatima Bint Mubarak,
"His Excellency Sheikh Nasser Mohammad Al Sabah, Prime Minister of the State of Kuwait","Sheikh Nasser Mohammad Al Sabah, Prime Minister of the State of Kuwait",,Sheikh Nasser Mohammad Al Sabah,
"The Honorable Rasha Al-Sabah, Under Secretary of Higher Education of the State of Kuwait","Rasha Al-Sabah, Under Secretary of Higher Education of the State of Kuwait",,Rasha Al-Sabah,
"Mrs. Hajiya Turai Yar'adua, Spouse of the President of the Federal Republic of Nigeria","Hajiya Turai Yar'adua, Spouse of the President of the Federal Republic of Nigeria",,Hajiya Turai Yar'adua,
"His Excellency Georgi Purvanov, President of the Republic of Bulgaria","Georgi Purvanov, President of the Republic of Bulgaria",,Georgi Purvanov,
"His Excellency Luis Inacio Lula da Silva, President of the Federative Republic of Brazil","Luis Inacio Lula da Silva, President of the Federative Republic of Brazil",,Luis Inacio Lula da Silva,
"Mr. Anatosios Dimoschakis, Chief of the Greek National Police, Greece","Anatosios Dimoschakis, Chief of the Greek National Police, Greece",,Anatosios Dimoschakis,
"His Excellency Yunis Qanuni, Speaker of the Lower House of the National Assembly, Afghanistan","Yunis Qanuni, Speaker of the Lower House of the National Assembly, Afghanistan",,Yunis Qanuni,
"Mr. Igor O. Shchegolev, Head of Protocol, Office of The President of the Russian Federation","Igor O. Shchegolev, Head of Protocol, Office of The President of the Russian Federation",,Igor O. Shchegolev,
"His Excellency Tam Chien Nguyen, Ambassador of Vietnam","Tam Chien Nguyen, Ambassador of Vietnam",,Tam Chien Nguyen,
"Princess Rima, Saudi Arabia","Princess Rima, Saudi Arabia",,Princess Rima,
"His Excellency Rashid bin Abdallah bin Ahmad al-Khalifa, Minister of Interior of the Kingdom of Bahrain","Rashid bin Abdallah bin Ahmad al-Khalifa, Minister of Interior of the Kingdom of Bahrain",,Rashid bin Abdallah bin Ahmad al-Khalifa,
"LTG Mohammed Medienne, Director, Department of Military Security, Ministry of National Defense, Algeria","LTG Mohammed Medienne, Director, Department of Military Security, Ministry of National Defense, Algeria",,LTG Mohammed Medienne,
"His Highness Sheikh Mohamed bin Zayed, Crown Prince of Abu Dhabi","Sheikh Mohamed bin Zayed, Crown Prince of Abu Dhabi",,Sheikh Mohamed bin Zayed,
"Minister Michel Edde, General Maronite Council, Lebanon","Minister Michel Edde, General Maronite Council, Lebanon",,Minister Michel Edde,
"Mr. M.K. Narayanan, National Security Advisor","M.K. Narayanan, National Security Advisor",,M.K. Narayanan,
"His Exellency Dai Bingguo, Vice Minister of Foreign Affairs of the People's Republic of China","His Exellency Dai Bingguo, Vice Minister of Foreign Affairs of the People's Republic of China",,His Exellency Dai Bingguo,
"His Excellency Jacques-Édouard Alexis, Prime Minister of Haiti","Jacques-Édouard Alexis, Prime Minister of Haiti",,Jacques-Édouard Alexis,
"His Majesty and Her Majesty King Abdullah II bin Al Hussein and Rania Al-Abdullah, King of the Hashemite Kingdom of Jordan and Queen","and King Abdullah II bin Al Hussein and Rania Al-Abdullah, King of the Hashemite Kingdom of Jordan and Queen",,and King Abdullah II bin Al Hussein and Rania Al-Abdullah,
"His Highness Sheikh Tamin bin Hamad Al-Thani, Heir Apparent, Qatar","Sheikh Tamin bin Hamad Al-Thani, Heir Apparent, Qatar",,Sheikh Tamin bin Hamad Al-Thani,
"Prince Muqrin bin Abdul Aziz, Director of the General Intelligence Presidency of the Kingdom of Saudi Arabia","Prince Muqrin bin Abdul Aziz, Director of the General Intelligence Presidency of the Kingdom of Saudi Arabia",,Prince Muqrin bin Abdul Aziz,
"Theophilos, Patriach of Jerusalem, Palestinian Authority","Theophilos, Patriach of Jerusalem, Palestinian Authority",,Theophilos,
"M.G. Islam, National Intelligence Director of Bangladesh","M.G. Islam, National Intelligence Director of Bangladesh",,M.G. Islam,
