giver_orig,giver,giver_wiki,giver_name,WikidataID
"The Honorable Rebecca Garang De Mabior, Minister of Transportation, Roads and Bridges Government of South Sudan","Rebecca Garang De Mabior, Minister of Transportation, Roads and Bridges Government of South Sudan",,Rebecca Garang De Mabior,
"The Honorable Nirmal Deshpande, M.P. Rajya Sabha Republic of India","Nirmal Deshpande, M.P. Rajya Sabha Republic of India",,Nirmal Deshpande,
"The Honorable Y.S. Rajasekhara Reddy, Chief Minister Andhra Pradesh, Republic of India","Y.S. Rajasekhara Reddy, Chief Minister Andhra Pradesh, Republic of India",,Y.S. Rajasekhara Reddy,
"His Excellency Heinz Fischer, Federal President of the Republic of Austria","Heinz Fischer, Federal President of the Republic of Austria",,Heinz Fischer,
His Excellency Jacques Chirac. President of the French Republic,Jacques Chirac. President of the French Republic,,of the French Republic,
"The Honorable Andrea Koester, Mayor of Bergen Auf Ruögen, Federal Republic of Germany","Andrea Koester, Mayor of Bergen Auf Ruögen, Federal Republic of Germany",,Andrea Koester,
"His Highness Sheikh Sabah Al-Ahmed Al-Jaaber Al-Sabah, Amir of the State of Kuwait","Sheikh Sabah Al-Ahmed Al-Jaaber Al-Sabah, Amir of the State of Kuwait",,Sheikh Sabah Al-Ahmed Al-Jaaber Al-Sabah,
His Excellency Manmohan Singh   Prime Minister of the Republic of India,Manmohan Singh   Prime Minister of the Republic of India,,Manmohan Singh   Prime Minister of the Republic of India,
"Mr. Le Sy Vuong Ha, Chief of Protocol, Ministry of Foreign Affairs of the Socialist Republic of Vietnam","Le Sy Vuong Ha, Chief of Protocol, Ministry of Foreign Affairs of the Socialist Republic of Vietnam",,Le Sy Vuong Ha,
His Excellency Nguyen Minh Triet President of the Socialist Republic of Vietnam and Madame Tran Thi Kim Chi,Nguyen Minh Triet President of the Socialist Republic of Vietnam and Tran Thi Kim Chi,,of the Socialist Republic of Vietnam and Tran Thi Kim Chi,
"Mr. Le Hoang Quan, Chairman Ho Chi Minh City People's Committee, Socialist Republic of Vietnam","Le Hoang Quan, Chairman Ho Chi Minh City People's Committee, Socialist Republic of Vietnam",,Le Hoang Quan,
"Mrs. Rukhasana Aziz, c/o The Prime Minister of The Islamic Republic of Pakistan","Rukhasana Aziz, c/o The Prime Minister of The Islamic Republic of Pakistan",,Rukhasana Aziz,
"The Honorable Andrea Colarelli, Mayor of Pinerolo Italian Republic","Andrea Colarelli, Mayor of Pinerolo Italian Republic",,Andrea Colarelli,
"His Excellency Sheikh Salem Abdullah Al Jaber Al-Sabah, The Ambassador of the State of Kuwait","Sheikh Salem Abdullah Al Jaber Al-Sabah, The Ambassador of the State of Kuwait",,Sheikh Salem Abdullah Al Jaber Al-Sabah,
"His Excellency Said T. Jawad, Ambassador of Afghanistan and Mrs. Shamim Jawad","Said T. Jawad, Ambassador of Afghanistan and Shamim Jawad",,Said T. Jawad,
"Mrs. Hoda Siniora, c/o Office of the Prime Minister of the Republic of Lebanon","Hoda Siniora, c/o Office of the Prime Minister of the Republic of Lebanon",,Hoda Siniora,
"Mrs. Kwon Yang-suk, First Lady of the Republic of Korea","Kwon Yang-suk, of the Republic of Korea",,Kwon Yang-suk,
"Mrs. Lyudmila Aleksandrovna Putina, c/o Office of the President of the Russian Federation","Lyudmila Aleksandrovna Putina, c/o Office of the President of the Russian Federation",,Lyudmila Aleksandrovna Putina,
"Mrs. Rima Al-Sabah, Embassy of the State of Kuwait","Rima Al-Sabah, Embassy of the State of Kuwait",,Rima Al-Sabah,
"Their Majesties King Abdullah, II and Queen Rania al Abdullah of the Hashemite Kingdom of Jordan","Their Majesties King Abdullah, II and Queen Rania al Abdullah of the Hashemite Kingdom of Jordan",,Their Majesties King Abdullah,
His Excellency Pervez Musharraf President of the Islamic Republic of Pakistan,Pervez Musharraf President of the Islamic Republic of Pakistan,,of the Islamic Republic of Pakistan,
His Highness Sheikh Salman Bin Hamad Bin Isa Al-Khalifa Crown Prince of the Kingdom of Bahrain and Head of the Bahrain Defence Force,Sheikh Salman Bin Hamad Bin Isa Al-Khalifa Crown Prince of the Kingdom of Bahrain and Head of the Bahrain Defence Force,,Sheikh Salman Bin Hamad Bin Isa Al-Khalifa Crown Prince of the Kingdom of Bahrain and Head of the Bahrain Defence Force,
"His Royal Highness Abdallah Bin Abd Al-Aziz Al Saud, Crown Prince, First Deputy Prime Minister and Commander of the National Guard, Kingdom of Saudi Arabia","Abdallah Bin Abd Al-Aziz Al Saud, Crown Prince, First Deputy Prime Minister and Commander of the National Guard, Kingdom of Saudi Arabia",,Abdallah Bin Abd Al-Aziz Al Saud,
"The Honorable Massimo D' Alema, Deputy Prime Minister and Minister of Foreign Affairs of the Italian Republic","Massimo D' Alema, Deputy Prime Minister and Minister of Foreign Affairs of the Italian Republic",,Massimo D' Alema,
"His Majestym Shaukat Aziz, Prime Minister of the Islamic Republic of Pakistan","His Majestym Shaukat Aziz, Prime Minister of the Islamic Republic of Pakistan",,His Majestym Shaukat Aziz,
His Excellency Nursultan Nazarbayev President of the Republic of Kazakhstan,Nursultan Nazarbayev President of the Republic of Kazakhstan,,of the Republic of Kazakhstan,
"The Honourable Noel A. Kinsella, Ph.D., S.T.D., Speaker of the Canadian Senate","The Honourable Noel A. Kinsella, Ph.D., S.T.D., Speaker of the Canadian Senate",,The Honourable Noel A. Kinsella,
"His Excellency Tariq al-Hashemi, Vice President of the Republic of Iraq","Tariq al-Hashemi, Vice President of the Republic of Iraq",,Tariq al-Hashemi,
"His Royal Highness Prince Khalid bin Sultan, Assistant Minister of Defense and Aviation of the Kingdom of Saudi Arabia","Prince Khalid bin Sultan, Assistant Minister of Defense and Aviation of the Kingdom of Saudi Arabia",,Prince Khalid bin Sultan,
"His Royal Highness Prince Turki Al-Faisal, Embassy of the Kingdom of Saudi Arabia","Prince Turki Al-Faisal, Embassy of the Kingdom of Saudi Arabia",,Prince Turki Al-Faisal,
General Abdul Rahim Wardak Minister of Defense Islamic Republic of Afghanistan,General Abdul Rahim Wardak Minister of Defense Islamic Republic of Afghanistan,,Abdul Rahim Wardak Minister of Defense Islamic Republic of Afghanistan,
"The Right Honorable Perry G. Christie, M.P., Prime Minister of the Commonwealth of The Bahamas","Perry G. Christie, M.P., Prime Minister of the Commonwealth of The Bahamas",,Perry G. Christie,
"His Excellency Mr. Peter John Michelson, Ambassador Extraordinary and Plenipotentiary of the Kingdom of Cambodia","Peter John Michelson, Ambassador Extraordinary and Plenipotentiary of the Kingdom of Cambodia",,Peter John Michelson,
"Chinese General Guo, Ranking Vice Chairman—Central Military Commission, China","Chinese General Guo, Ranking Vice Chairman—Central Military Commission, China",,Guo,
Field Marshall Hussein Tantawi. Commander in the Chief of the Egyptian Armed Forces and Minister of Defense of Egypt,Field Marshall Hussein Tantawi. Commander in the Chief of the Egyptian Armed Forces and Minister of Defense of Egypt,,in the Chief of the Egyptian Armed Forces and Minister of Defense of Egypt,
"General Omar Soliman, Director of the Egyptian General Intelligence Service","General Omar Soliman, Director of the Egyptian General Intelligence Service",,Omar Soliman,
"His Royal Highness Prince Saud Al Faisal, Minister of Foreign Affairs of the Kingdom of Saudi Arabia","Prince Saud Al Faisal, Minister of Foreign Affairs of the Kingdom of Saudi Arabia",,Prince Saud Al Faisal,
"His Excellency Line El Abidine Ben Ali, President of the Republic of Tunisia","Line El Abidine Ben Ali, President of the Republic of Tunisia",,Line El Abidine Ben Ali,
His Excellency Sergey Ivanov Minister of Defense for the Russian Federation,Sergey Ivanov Minister of Defense for the Russian Federation,,Sergey Ivanov Minister of Defense for the Russian Federation,
"The Honorable Peter MacKay, P.C., M.P., Minister of Foreign Affairs of Canada","Peter MacKay, P.C., M.P., Minister of Foreign Affairs of Canada",,Peter MacKay,
"Custodian of the Two Holy Mosques, Abdallah bin Abd al-Aziz Al Saud, King of the Kingdom of Saudi Arabia","Custodian of the Two Holy Mosques, Abdallah bin Abd al-Aziz Al Saud, King of the Kingdom of Saudi Arabia",,Custodian of the Two Holy Mosques,
"Employees of Rabban Al-Safina, Baghdad, Iraq","Employees of Rabban Al-Safina, Baghdad, Iraq",,Employees of Rabban Al-Safina,
"Government Official of Baghdad, Iraq; Unknown","Government Official of Baghdad, Iraq; Unknown",,Government Official of Baghdad,
"Madame Marieme Fall Mint Koyeimel, Director General of Sapad, Mauritania","Marieme Fall Mint Koyeimel, Director General of Sapad, Mauritania",,Marieme Fall Mint Koyeimel,
"His Excellency Nassir Abdulaziz, Ambassador to the United Nations of the Country of Qatar","Nassir Abdulaziz, Ambassador to the United Nations of the Country of Qatar",,Nassir Abdulaziz,
"The half sister of Abdallah bin Abd al-Aziz Al Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia","The half sister of Abdallah bin Abd al-Aziz Al Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia",,The half sister of Abdallah bin Abd al-Aziz Al Saud,
His Excellency Shaukat Aziz; Prime Minister of the Islamic Republic of Pakistan,Shaukat Aziz; Prime Minister of the Islamic Republic of Pakistan,,Shaukat Aziz; Prime Minister of the Islamic Republic of Pakistan,
"His Excellency Sabah Al-Ahmad Al-Jaber Al-Saba, Prime Minister of the State of Kuwait","Sabah Al-Ahmad Al-Jaber Al-Saba, Prime Minister of the State of Kuwait",,Sabah Al-Ahmad Al-Jaber Al-Saba,
"Sheika Sabika Bint Ibrahim Al Khalifa, wife of the King of Bahrain","Sheika Sabika Bint Ibrahim Al Khalifa, wife of the King of Bahrain",,Sheika Sabika Bint Ibrahim Al Khalifa,
"Werner Sigmund, Chief Executive Officer, International Bund; Germany","Werner Sigmund, Chief Executive Officer, International Bund; Germany",,Werner Sigmund,
"Karen Fingas, Director, Community and Economic Development, Government of Nunavut","Karen Fingas, Director, Community and Economic Development, Government of Nunavut",,Karen Fingas,
"His Excellency Akhetzhan Yesimov, Minister of Agriculture of the Republic of Kazakhstan","Akhetzhan Yesimov, Minister of Agriculture of the Republic of Kazakhstan",,Akhetzhan Yesimov,
"His Excellency Zhang Ziyun, Chinese Ambassador to Kazakhstan","Zhang Ziyun, Chinese Ambassador to Kazakhstan",,Zhang Ziyun,
"RSD Staff (Refugee Status Determination), Republic of Bulgaria","RSD Staff (Refugee Status Determination), Republic of Bulgaria",,RSD Staff (Refugee Status Determination),
"STS Forum (Solutions to Satisfaction—Logistics Forum), Hong Kong, the People's Republic of China","STS Forum (Solutions to Satisfaction—Logistics Forum), Hong Kong, the People's Republic of China",,STS Forum (Solutions to Satisfaction—Logistics Forum),
"Sheikh Saud Bahwan, Tribal Sheikh, Sultanate of Oman","Sheikh Saud Bahwan, Tribal Sheikh, Sultanate of Oman",,Sheikh Saud Bahwan,
"Alfonso Manuel Portabales Vazquez, Ambassador, Embassy of Spain to Nigeria","Alfonso Manuel Portabales Vazquez, Ambassador, Embassy of Spain to Nigeria",,Alfonso Manuel Portabales Vazquez,
"Government Official from the Chinese Ministry of Defense; the People's Republic of China, Unknown","Government Official from the Chinese Ministry of Defense; the People's Republic of China, Unknown",,Government Official from the Chinese Ministry of Defense; the People's Republic of China,
